linha=1 | nome=Igor | acao=executou o benchmark | valor=1959
linha=36 | nome=Carlos | acao=estudou computacao | valor=4625
linha=37 | nome=Natalia | acao=comparou as metricas | valor=4052
linha=38 | nome=Sofia | acao=comparou as metricas | valor=2644
linha=39 | nome=Renata | acao=analisou os resultados | valor=1259
linha=40 | nome=Helena | acao=executou o benchmark | valor=5709
linha=41 | nome=Eduarda | acao=analisou os resultados | valor=5178
linha=42 | nome=Tiago | acao=fez um experimento | valor=7072
linha=43 | nome=Joao | acao=escreveu o relatorio | valor=5953
linha=44 | nome=Vitor | acao=comparou as metricas | valor=7038
linha=45 | nome=Paulo | acao=participou da aula | valor=7815
linha=46 | nome=Renata | acao=participou da aula | valor=6772
linha=47 | nome=Gabriela | acao=comparou as metricas | valor=8902
linha=48 | nome=Lucas | acao=fez um experimento | valor=8305
linha=49 | nome=Bruno | acao=estudou computacao | valor=1499
linha=50 | nome=Mariana | acao=fez um experimento | valor=3475
linha=51 | nome=Paulo | acao=fez um experimento | valor=2690
linha=52 | nome=Mariana | acao=executou o benchmark | valor=9695
linha=53 | nome=Lucas | acao=fez um experimento | valor=4911
linha=54 | nome=Carlos | acao=otimizou o algoritmo | valor=1306
linha=55 | nome=Igor | acao=escreveu o relatorio | valor=5517
linha=56 | nome=Joao | acao=executou o benchmark | valor=4841
linha=57 | nome=Mariana | acao=comparou as metricas | valor=1965
linha=58 | nome=Tiago | acao=fez um experimento | valor=5359
linha=59 | nome=Tiago | acao=participou da aula | valor=4714
linha=60 | nome=Natalia | acao=otimizou o algoritmo | valor=8249
linha=61 | nome=Ana | acao=estudou computacao | valor=7107
linha=62 | nome=Igor | acao=fez um experimento | valor=2093
linha=63 | nome=Bruno | acao=estudou computacao | valor=8116
linha=64 | nome=Felipe | acao=escreveu o relatorio | valor=4958
linha=65 | nome=Igor | acao=executou o benchmark | valor=4560
linha=66 | nome=Igor | acao=executou o benchmark | valor=7486
linha=67 | nome=Joao | acao=fez um experimento | valor=9452
linha=68 | nome=Eduarda | acao=comparou as metricas | valor=4551
linha=69 | nome=Helena | acao=estudou computacao | valor=2252
linha=70 | nome=Ana | acao=escreveu o relatorio | valor=6842
linha=71 | nome=Mariana | acao=executou o benchmark | valor=6289
linha=72 | nome=Otavio | acao=estudou computacao | valor=2583
linha=73 | nome=Sofia | acao=analisou os resultados | valor=5616
linha=74 | nome=Ana | acao=analisou os resultados | valor=4428
linha=75 | nome=Lucas | acao=executou o benchmark | valor=8874
linha=76 | nome=Eduarda | acao=comparou as metricas | valor=6961
linha=77 | nome=Carlos | acao=participou da aula | valor=2334
linha=78 | nome=Natalia | acao=executou o benchmark | valor=5119
linha=79 | nome=Bruno | acao=executou o benchmark | valor=1306
linha=80 | nome=Helena | acao=executou o benchmark | valor=8759
linha=81 | nome=Felipe | acao=executou o benchmark | valor=3029
linha=82 | nome=Mariana | acao=otimizou o algoritmo | valor=6431
linha=83 | nome=Mariana | acao=fez um experimento | valor=2095
linha=84 | nome=Helena | acao=escreveu o relatorio | valor=7141
linha=85 | nome=Daniela | acao=escreveu o relatorio | valor=2873
linha=86 | nome=Otavio | acao=comparou as metricas | valor=6602
linha=87 | nome=Ana | acao=otimizou o algoritmo | valor=8782
linha=88 | nome=Karen | acao=analisou os resultados | valor=6931
linha=89 | nome=Ana | acao=analisou os resultados | valor=1245
linha=90 | nome=Mariana | acao=estudou computacao | valor=7430
linha=91 | nome=Gabriela | acao=participou da aula | valor=2702
linha=92 | nome=Carlos | acao=escreveu o relatorio | valor=6016
linha=93 | nome=Renata | acao=escreveu o relatorio | valor=5821
linha=94 | nome=Carlos | acao=estudou computacao | valor=3733
linha=95 | nome=Felipe | acao=estudou computacao | valor=1998
linha=96 | nome=Daniela | acao=escreveu o relatorio | valor=6843
linha=97 | nome=Gabriela | acao=analisou os resultados | valor=2325
linha=98 | nome=Igor | acao=estudou computacao | valor=9691
linha=99 | nome=Joao | acao=participou da aula | valor=6550
linha=100 | nome=Bruno | acao=otimizou o algoritmo | valor=3260
linha=101 | nome=Carlos | acao=participou da aula | valor=3719
linha=102 | nome=Bruno | acao=comparou as metricas | valor=7297
linha=103 | nome=Sofia | acao=estudou computacao | valor=4975
linha=104 | nome=Karen | acao=analisou os resultados | valor=5016
linha=105 | nome=Bruno | acao=comparou as metricas | valor=4693
linha=106 | nome=Felipe | acao=participou da aula | valor=1899
linha=107 | nome=Otavio | acao=estudou computacao | valor=6800
linha=108 | nome=Gabriela | acao=otimizou o algoritmo | valor=7682
linha=109 | nome=Tiago | acao=fez um experimento | valor=9787
linha=110 | nome=Karen | acao=executou o benchmark | valor=3764
linha=111 | nome=Otavio | acao=participou da aula | valor=7126
linha=112 | nome=Vitor | acao=analisou os resultados | valor=1733
linha=113 | nome=Igor | acao=estudou computacao | valor=3479
linha=114 | nome=Helena | acao=fez um experimento | valor=8618
linha=115 | nome=Lucas | acao=escreveu o relatorio | valor=2398
linha=116 | nome=Renata | acao=fez um experimento | valor=8071
linha=117 | nome=Mariana | acao=analisou os resultados | valor=2279
linha=118 | nome=Mariana | acao=escreveu o relatorio | valor=3378
linha=119 | nome=Tiago | acao=estudou computacao | valor=7156
linha=120 | nome=Mariana | acao=fez um experimento | valor=5729
linha=121 | nome=Joao | acao=executou o benchmark | valor=5884
linha=122 | nome=Bruno | acao=participou da aula | valor=3694
linha=123 | nome=Carlos | acao=estudou computacao | valor=3193
linha=124 | nome=Mariana | acao=comparou as metricas | valor=1412
linha=125 | nome=Ana | acao=executou o benchmark | valor=7355
linha=126 | nome=Gabriela | acao=estudou computacao | valor=4206
linha=127 | nome=Igor | acao=otimizou o algoritmo | valor=2947
linha=128 | nome=Igor | acao=otimizou o algoritmo | valor=4927
linha=129 | nome=Ana | acao=executou o benchmark | valor=7222
linha=130 | nome=Ana | acao=comparou as metricas | valor=1462
linha=131 | nome=Helena | acao=participou da aula | valor=2314
linha=132 | nome=Lucas | acao=executou o benchmark | valor=3118
linha=133 | nome=Renata | acao=executou o benchmark | valor=1208
linha=134 | nome=Karen | acao=escreveu o relatorio | valor=4085
linha=135 | nome=Felipe | acao=executou o benchmark | valor=7677
linha=136 | nome=Carlos | acao=comparou as metricas | valor=9368
linha=137 | nome=Carlos | acao=participou da aula | valor=1035
linha=138 | nome=Bruno | acao=comparou as metricas | valor=8709
linha=139 | nome=Sofia | acao=escreveu o relatorio | valor=6426
linha=140 | nome=Tiago | acao=fez um experimento | valor=1144
linha=141 | nome=Carlos | acao=comparou as metricas | valor=9397
linha=142 | nome=Eduarda | acao=estudou computacao | valor=3394
linha=143 | nome=Lucas | acao=executou o benchmark | valor=3125
linha=144 | nome=Vitor | acao=participou da aula | valor=9796
linha=145 | nome=Joao | acao=otimizou o algoritmo | valor=9968
linha=146 | nome=Bruno | acao=executou o benchmark | valor=1694
linha=147 | nome=Carlos | acao=estudou computacao | valor=8239
linha=148 | nome=Lucas | acao=participou da aula | valor=1984
linha=149 | nome=Natalia | acao=executou o benchmark | valor=4047
linha=150 | nome=Helena | acao=escreveu o relatorio | valor=5294
linha=151 | nome=Lucas | acao=comparou as metricas | valor=9840
linha=152 | nome=Mariana | acao=analisou os resultados | valor=8559
linha=153 | nome=Mariana | acao=comparou as metricas | valor=4051
linha=154 | nome=Mariana | acao=fez um experimento | valor=9440
linha=155 | nome=Daniela | acao=fez um experimento | valor=2406
linha=156 | nome=Mariana | acao=otimizou o algoritmo | valor=3371
linha=157 | nome=Carlos | acao=otimizou o algoritmo | valor=3222
linha=158 | nome=Natalia | acao=analisou os resultados | valor=9825
linha=159 | nome=Mariana | acao=executou o benchmark | valor=8751
linha=160 | nome=Sofia | acao=participou da aula | valor=1985
linha=161 | nome=Lucas | acao=estudou computacao | valor=2093
linha=162 | nome=Gabriela | acao=participou da aula | valor=9241
linha=163 | nome=Mariana | acao=escreveu o relatorio | valor=1253
linha=164 | nome=Eduarda | acao=estudou computacao | valor=9990
linha=165 | nome=Daniela | acao=comparou as metricas | valor=1873
linha=166 | nome=Vitor | acao=executou o benchmark | valor=8059
linha=167 | nome=Igor | acao=participou da aula | valor=3255
linha=168 | nome=Carlos | acao=comparou as metricas | valor=3663
linha=169 | nome=Carlos | acao=comparou as metricas | valor=7057
linha=170 | nome=Karen | acao=comparou as metricas | valor=3812
linha=171 | nome=Lucas | acao=comparou as metricas | valor=5749
linha=172 | nome=Karen | acao=fez um experimento | valor=9222
linha=173 | nome=Carlos | acao=fez um experimento | valor=4180
linha=174 | nome=Gabriela | acao=comparou as metricas | valor=3224
linha=175 | nome=Felipe | acao=executou o benchmark | valor=6335
linha=176 | nome=Daniela | acao=comparou as metricas | valor=2593
linha=177 | nome=Mariana | acao=fez um experimento | valor=2351
linha=178 | nome=Paulo | acao=executou o benchmark | valor=4836
linha=179 | nome=Felipe | acao=otimizou o algoritmo | valor=2269
linha=180 | nome=Eduarda | acao=comparou as metricas | valor=5317
linha=181 | nome=Daniela | acao=otimizou o algoritmo | valor=1804
linha=182 | nome=Tiago | acao=otimizou o algoritmo | valor=9378
linha=183 | nome=Karen | acao=estudou computacao | valor=4154
linha=184 | nome=Carlos | acao=escreveu o relatorio | valor=2218
linha=185 | nome=Gabriela | acao=escreveu o relatorio | valor=7571
linha=186 | nome=Renata | acao=estudou computacao | valor=2009
linha=187 | nome=Karen | acao=fez um experimento | valor=5172
linha=188 | nome=Paulo | acao=escreveu o relatorio | valor=3250
linha=189 | nome=Eduarda | acao=executou o benchmark | valor=7385
linha=190 | nome=Gabriela | acao=executou o benchmark | valor=5590
linha=191 | nome=Tiago | acao=executou o benchmark | valor=6249
linha=192 | nome=Lucas | acao=participou da aula | valor=3334
linha=193 | nome=Felipe | acao=estudou computacao | valor=1401
linha=194 | nome=Joao | acao=fez um experimento | valor=2553
linha=195 | nome=Igor | acao=fez um experimento | valor=3972
linha=196 | nome=Eduarda | acao=estudou computacao | valor=5948
linha=197 | nome=Bruno | acao=otimizou o algoritmo | valor=5359
linha=198 | nome=Natalia | acao=participou da aula | valor=1885
linha=199 | nome=Paulo | acao=escreveu o relatorio | valor=6742
linha=200 | nome=Felipe | acao=comparou as metricas | valor=1905
linha=201 | nome=Gabriela | acao=participou da aula | valor=1741
linha=202 | nome=Carlos | acao=otimizou o algoritmo | valor=6104
linha=203 | nome=Ana | acao=escreveu o relatorio | valor=5591
linha=204 | nome=Karen | acao=participou da aula | valor=8886
linha=205 | nome=Tiago | acao=otimizou o algoritmo | valor=4214
linha=206 | nome=Carlos | acao=analisou os resultados | valor=8306
linha=207 | nome=Felipe | acao=estudou computacao | valor=3508
linha=208 | nome=Daniela | acao=executou o benchmark | valor=4594
linha=209 | nome=Daniela | acao=comparou as metricas | valor=2407
linha=210 | nome=Karen | acao=fez um experimento | valor=9341
linha=211 | nome=Ana | acao=escreveu o relatorio | valor=5924
linha=212 | nome=Ana | acao=otimizou o algoritmo | valor=5749
linha=213 | nome=Ana | acao=comparou as metricas | valor=2123
linha=214 | nome=Mariana | acao=analisou os resultados | valor=4874
linha=215 | nome=Otavio | acao=executou o benchmark | valor=4260
linha=216 | nome=Carlos | acao=escreveu o relatorio | valor=2843
linha=217 | nome=Joao | acao=executou o benchmark | valor=3318
linha=218 | nome=Karen | acao=estudou computacao | valor=3835
linha=219 | nome=Tiago | acao=participou da aula | valor=2505
linha=220 | nome=Mariana | acao=estudou computacao | valor=2748
linha=221 | nome=Eduarda | acao=analisou os resultados | valor=4122
linha=222 | nome=Karen | acao=participou da aula | valor=8042
linha=223 | nome=Gabriela | acao=fez um experimento | valor=5188
linha=224 | nome=Mariana | acao=estudou computacao | valor=2263
linha=225 | nome=Carlos | acao=estudou computacao | valor=9558
linha=226 | nome=Paulo | acao=analisou os resultados | valor=3957
linha=227 | nome=Helena | acao=estudou computacao | valor=7136
linha=228 | nome=Igor | acao=estudou computacao | valor=4214
linha=229 | nome=Ana | acao=executou o benchmark | valor=2829
linha=230 | nome=Renata | acao=analisou os resultados | valor=9292
linha=231 | nome=Otavio | acao=participou da aula | valor=7847
linha=232 | nome=Otavio | acao=analisou os resultados | valor=2490
linha=233 | nome=Tiago | acao=analisou os resultados | valor=8451
linha=234 | nome=Helena | acao=estudou computacao | valor=4849
linha=235 | nome=Daniela | acao=fez um experimento | valor=4924
linha=236 | nome=Natalia | acao=estudou computacao | valor=1236
linha=237 | nome=Karen | acao=participou da aula | valor=7803
linha=238 | nome=Daniela | acao=analisou os resultados | valor=5554
linha=239 | nome=Karen | acao=escreveu o relatorio | valor=9426
linha=240 | nome=Tiago | acao=otimizou o algoritmo | valor=2997
linha=241 | nome=Mariana | acao=fez um experimento | valor=3552
linha=242 | nome=Igor | acao=executou o benchmark | valor=6532
linha=243 | nome=Karen | acao=analisou os resultados | valor=2767
linha=244 | nome=Tiago | acao=otimizou o algoritmo | valor=5341
linha=245 | nome=Eduarda | acao=executou o benchmark | valor=7901
linha=246 | nome=Karen | acao=fez um experimento | valor=8598
linha=247 | nome=Gabriela | acao=analisou os resultados | valor=6482
linha=248 | nome=Karen | acao=analisou os resultados | valor=5294
linha=249 | nome=Mariana | acao=participou da aula | valor=5688
linha=250 | nome=Mariana | acao=comparou as metricas | valor=2325
linha=251 | nome=Ana | acao=analisou os resultados | valor=9665
linha=252 | nome=Lucas | acao=executou o benchmark | valor=7165
linha=253 | nome=Gabriela | acao=executou o benchmark | valor=7550
linha=254 | nome=Gabriela | acao=analisou os resultados | valor=5947
linha=255 | nome=Karen | acao=participou da aula | valor=3850
linha=256 | nome=Mariana | acao=estudou computacao | valor=4966
linha=257 | nome=Daniela | acao=escreveu o relatorio | valor=2358
linha=258 | nome=Igor | acao=otimizou o algoritmo | valor=8241
linha=259 | nome=Eduarda | acao=escreveu o relatorio | valor=6589
linha=260 | nome=Gabriela | acao=executou o benchmark | valor=2651
linha=261 | nome=Eduarda | acao=fez um experimento | valor=8773
linha=262 | nome=Paulo | acao=escreveu o relatorio | valor=1000
linha=263 | nome=Natalia | acao=analisou os resultados | valor=2965
linha=264 | nome=Renata | acao=participou da aula | valor=9249
linha=265 | nome=Karen | acao=estudou computacao | valor=8854
linha=266 | nome=Otavio | acao=executou o benchmark | valor=7893
linha=267 | nome=Paulo | acao=escreveu o relatorio | valor=1329
linha=268 | nome=Otavio | acao=comparou as metricas | valor=8490
linha=269 | nome=Tiago | acao=analisou os resultados | valor=9285
linha=270 | nome=Mariana | acao=otimizou o algoritmo | valor=7651
linha=271 | nome=Lucas | acao=escreveu o relatorio | valor=6232
linha=272 | nome=Ana | acao=executou o benchmark | valor=6368
linha=273 | nome=Renata | acao=analisou os resultados | valor=5916
linha=274 | nome=Vitor | acao=comparou as metricas | valor=5023
linha=275 | nome=Tiago | acao=comparou as metricas | valor=6499
linha=276 | nome=Vitor | acao=participou da aula | valor=6657
linha=277 | nome=Paulo | acao=participou da aula | valor=1295
linha=278 | nome=Mariana | acao=comparou as metricas | valor=2600
linha=279 | nome=Gabriela | acao=estudou computacao | valor=8329
linha=280 | nome=Ana | acao=analisou os resultados | valor=4613
linha=281 | nome=Natalia | acao=executou o benchmark | valor=5938
linha=282 | nome=Mariana | acao=otimizou o algoritmo | valor=2878
linha=283 | nome=Felipe | acao=fez um experimento | valor=1270
linha=284 | nome=Karen | acao=estudou computacao | valor=7812
linha=285 | nome=Mariana | acao=comparou as metricas | valor=9619
linha=286 | nome=Renata | acao=fez um experimento | valor=4303
linha=287 | nome=Gabriela | acao=fez um experimento | valor=8575
linha=288 | nome=Helena | acao=comparou as metricas | valor=3890
linha=289 | nome=Eduarda | acao=escreveu o relatorio | valor=7619
linha=290 | nome=Mariana | acao=estudou computacao | valor=2946
linha=291 | nome=Carlos | acao=estudou computacao | valor=3882
linha=292 | nome=Eduarda | acao=executou o benchmark | valor=1988
linha=293 | nome=Igor | acao=estudou computacao | valor=8641
linha=294 | nome=Paulo | acao=executou o benchmark | valor=6617
linha=295 | nome=Lucas | acao=otimizou o algoritmo | valor=3640
linha=296 | nome=Felipe | acao=estudou computacao | valor=7274
linha=297 | nome=Sofia | acao=executou o benchmark | valor=1482
linha=298 | nome=Gabriela | acao=comparou as metricas | valor=5243
linha=299 | nome=Mariana | acao=estudou computacao | valor=7503
linha=300 | nome=Daniela | acao=participou da aula | valor=8429
linha=301 | nome=Sofia | acao=otimizou o algoritmo | valor=2783
linha=302 | nome=Mariana | acao=analisou os resultados | valor=3264
linha=303 | nome=Ana | acao=escreveu o relatorio | valor=8765
linha=304 | nome=Sofia | acao=fez um experimento | valor=7602
linha=305 | nome=Daniela | acao=comparou as metricas | valor=8054
linha=306 | nome=Natalia | acao=otimizou o algoritmo | valor=1405
linha=307 | nome=Karen | acao=executou o benchmark | valor=3124
linha=308 | nome=Paulo | acao=analisou os resultados | valor=7107
linha=309 | nome=Natalia | acao=escreveu o relatorio | valor=1991
linha=310 | nome=Eduarda | acao=fez um experimento | valor=9695
linha=311 | nome=Tiago | acao=fez um experimento | valor=5712
linha=312 | nome=Karen | acao=executou o benchmark | valor=3242
linha=313 | nome=Sofia | acao=otimizou o algoritmo | valor=7533
linha=314 | nome=Paulo | acao=participou da aula | valor=9129
linha=315 | nome=Carlos | acao=comparou as metricas | valor=1859
linha=316 | nome=Felipe | acao=escreveu o relatorio | valor=3523
linha=317 | nome=Vitor | acao=escreveu o relatorio | valor=8909
linha=318 | nome=Karen | acao=estudou computacao | valor=4052
linha=319 | nome=Vitor | acao=fez um experimento | valor=5858
linha=320 | nome=Paulo | acao=escreveu o relatorio | valor=4140
linha=321 | nome=Eduarda | acao=fez um experimento | valor=5004
linha=322 | nome=Renata | acao=comparou as metricas | valor=2522
linha=323 | nome=Lucas | acao=comparou as metricas | valor=3537
linha=324 | nome=Renata | acao=escreveu o relatorio | valor=3932
linha=325 | nome=Karen | acao=escreveu o relatorio | valor=7001
linha=326 | nome=Lucas | acao=otimizou o algoritmo | valor=1990
linha=327 | nome=Mariana | acao=escreveu o relatorio | valor=4002
linha=328 | nome=Bruno | acao=estudou computacao | valor=4237
linha=329 | nome=Igor | acao=estudou computacao | valor=7354
linha=330 | nome=Gabriela | acao=comparou as metricas | valor=6587
linha=331 | nome=Renata | acao=otimizou o algoritmo | valor=3828
linha=332 | nome=Eduarda | acao=escreveu o relatorio | valor=3247
linha=333 | nome=Otavio | acao=participou da aula | valor=6004
linha=334 | nome=Natalia | acao=executou o benchmark | valor=3399
linha=335 | nome=Mariana | acao=participou da aula | valor=7247
linha=336 | nome=Natalia | acao=otimizou o algoritmo | valor=2898
linha=337 | nome=Otavio | acao=analisou os resultados | valor=8163
linha=338 | nome=Joao | acao=participou da aula | valor=4660
linha=339 | nome=Ana | acao=participou da aula | valor=2077
linha=340 | nome=Eduarda | acao=executou o benchmark | valor=5479
linha=341 | nome=Tiago | acao=escreveu o relatorio | valor=4967
linha=342 | nome=Vitor | acao=otimizou o algoritmo | valor=4538
linha=343 | nome=Igor | acao=comparou as metricas | valor=8498
linha=344 | nome=Renata | acao=estudou computacao | valor=6371
linha=345 | nome=Bruno | acao=otimizou o algoritmo | valor=5936
linha=346 | nome=Helena | acao=participou da aula | valor=5980
linha=347 | nome=Igor | acao=estudou computacao | valor=7701
linha=348 | nome=Igor | acao=estudou computacao | valor=6273
linha=349 | nome=Felipe | acao=executou o benchmark | valor=3193
linha=350 | nome=Otavio | acao=escreveu o relatorio | valor=4382
linha=351 | nome=Gabriela | acao=otimizou o algoritmo | valor=5983
linha=352 | nome=Bruno | acao=escreveu o relatorio | valor=4955
linha=353 | nome=Helena | acao=analisou os resultados | valor=8241
linha=354 | nome=Natalia | acao=estudou computacao | valor=8799
linha=355 | nome=Otavio | acao=analisou os resultados | valor=6033
linha=356 | nome=Lucas | acao=fez um experimento | valor=7525
linha=357 | nome=Karen | acao=estudou computacao | valor=2520
linha=358 | nome=Eduarda | acao=comparou as metricas | valor=6017
linha=359 | nome=Eduarda | acao=analisou os resultados | valor=3203
linha=360 | nome=Sofia | acao=otimizou o algoritmo | valor=4606
linha=361 | nome=Karen | acao=executou o benchmark | valor=4564
linha=362 | nome=Mariana | acao=executou o benchmark | valor=1746
linha=363 | nome=Carlos | acao=escreveu o relatorio | valor=4015
linha=364 | nome=Gabriela | acao=comparou as metricas | valor=1683
linha=365 | nome=Felipe | acao=comparou as metricas | valor=9044
linha=366 | nome=Joao | acao=analisou os resultados | valor=3005
linha=367 | nome=Igor | acao=escreveu o relatorio | valor=7877
linha=368 | nome=Gabriela | acao=comparou as metricas | valor=8313
linha=369 | nome=Sofia | acao=estudou computacao | valor=9477
linha=370 | nome=Mariana | acao=comparou as metricas | valor=8370
linha=371 | nome=Ana | acao=participou da aula | valor=3528
linha=372 | nome=Gabriela | acao=participou da aula | valor=8750
linha=373 | nome=Otavio | acao=estudou computacao | valor=7913
linha=374 | nome=Natalia | acao=estudou computacao | valor=4910
linha=375 | nome=Daniela | acao=otimizou o algoritmo | valor=9958
linha=376 | nome=Vitor | acao=escreveu o relatorio | valor=8893
linha=377 | nome=Vitor | acao=fez um experimento | valor=4070
linha=378 | nome=Igor | acao=analisou os resultados | valor=2320
linha=379 | nome=Helena | acao=analisou os resultados | valor=8629
linha=380 | nome=Natalia | acao=estudou computacao | valor=8812
linha=381 | nome=Helena | acao=otimizou o algoritmo | valor=8115
linha=382 | nome=Helena | acao=analisou os resultados | valor=6241
linha=383 | nome=Eduarda | acao=comparou as metricas | valor=6634
linha=384 | nome=Sofia | acao=comparou as metricas | valor=1915
linha=385 | nome=Ana | acao=escreveu o relatorio | valor=1261
linha=386 | nome=Igor | acao=analisou os resultados | valor=2951
linha=387 | nome=Felipe | acao=fez um experimento | valor=8244
linha=388 | nome=Bruno | acao=estudou computacao | valor=5211
linha=389 | nome=Lucas | acao=estudou computacao | valor=9009
linha=390 | nome=Igor | acao=estudou computacao | valor=5726
linha=391 | nome=Ana | acao=estudou computacao | valor=1502
linha=392 | nome=Mariana | acao=estudou computacao | valor=4140
linha=393 | nome=Lucas | acao=participou da aula | valor=4073
linha=394 | nome=Natalia | acao=executou o benchmark | valor=1538
linha=395 | nome=Carlos | acao=analisou os resultados | valor=3123
linha=396 | nome=Sofia | acao=executou o benchmark | valor=3800
linha=397 | nome=Paulo | acao=escreveu o relatorio | valor=5017
linha=398 | nome=Helena | acao=otimizou o algoritmo | valor=2639
linha=399 | nome=Igor | acao=comparou as metricas | valor=4221
linha=400 | nome=Mariana | acao=executou o benchmark | valor=5909
linha=401 | nome=Natalia | acao=estudou computacao | valor=7253
linha=402 | nome=Otavio | acao=estudou computacao | valor=9585
linha=403 | nome=Karen | acao=analisou os resultados | valor=7914
linha=404 | nome=Ana | acao=analisou os resultados | valor=7217
linha=405 | nome=Felipe | acao=escreveu o relatorio | valor=3988
linha=406 | nome=Daniela | acao=executou o benchmark | valor=7706
linha=407 | nome=Mariana | acao=executou o benchmark | valor=3238
linha=408 | nome=Renata | acao=escreveu o relatorio | valor=9711
linha=409 | nome=Felipe | acao=estudou computacao | valor=9563
linha=410 | nome=Renata | acao=otimizou o algoritmo | valor=5714
linha=411 | nome=Karen | acao=otimizou o algoritmo | valor=8478
linha=412 | nome=Gabriela | acao=otimizou o algoritmo | valor=2554
linha=413 | nome=Helena | acao=participou da aula | valor=5676
linha=414 | nome=Vitor | acao=analisou os resultados | valor=1826
linha=415 | nome=Natalia | acao=comparou as metricas | valor=9734
linha=416 | nome=Karen | acao=otimizou o algoritmo | valor=8249
linha=417 | nome=Karen | acao=executou o benchmark | valor=3940
linha=418 | nome=Igor | acao=otimizou o algoritmo | valor=9207
linha=419 | nome=Igor | acao=fez um experimento | valor=6956
linha=420 | nome=Tiago | acao=analisou os resultados | valor=4972
linha=421 | nome=Paulo | acao=analisou os resultados | valor=6278
linha=422 | nome=Sofia | acao=escreveu o relatorio | valor=6202
linha=423 | nome=Daniela | acao=otimizou o algoritmo | valor=2429
linha=424 | nome=Natalia | acao=fez um experimento | valor=1733
linha=425 | nome=Eduarda | acao=escreveu o relatorio | valor=8743
linha=426 | nome=Paulo | acao=otimizou o algoritmo | valor=5589
linha=427 | nome=Daniela | acao=otimizou o algoritmo | valor=7961
linha=428 | nome=Helena | acao=participou da aula | valor=3627
linha=429 | nome=Igor | acao=executou o benchmark | valor=9630
linha=430 | nome=Paulo | acao=participou da aula | valor=1120
linha=431 | nome=Mariana | acao=comparou as metricas | valor=1445
linha=432 | nome=Vitor | acao=comparou as metricas | valor=4721
linha=433 | nome=Gabriela | acao=otimizou o algoritmo | valor=6018
linha=434 | nome=Gabriela | acao=fez um experimento | valor=3314
linha=435 | nome=Ana | acao=fez um experimento | valor=3220
linha=436 | nome=Daniela | acao=escreveu o relatorio | valor=5436
linha=437 | nome=Ana | acao=escreveu o relatorio | valor=5008
linha=438 | nome=Vitor | acao=executou o benchmark | valor=9693
linha=439 | nome=Natalia | acao=executou o benchmark | valor=4579
linha=440 | nome=Lucas | acao=analisou os resultados | valor=5713
linha=441 | nome=Renata | acao=participou da aula | valor=4471
linha=442 | nome=Helena | acao=executou o benchmark | valor=5713
linha=443 | nome=Carlos | acao=estudou computacao | valor=1032
linha=444 | nome=Bruno | acao=analisou os resultados | valor=9878
linha=445 | nome=Helena | acao=escreveu o relatorio | valor=7817
linha=446 | nome=Bruno | acao=escreveu o relatorio | valor=1145
linha=447 | nome=Helena | acao=estudou computacao | valor=6486
linha=448 | nome=Eduarda | acao=analisou os resultados | valor=7712
linha=449 | nome=Karen | acao=escreveu o relatorio | valor=6256
linha=450 | nome=Ana | acao=estudou computacao | valor=3067
linha=451 | nome=Otavio | acao=comparou as metricas | valor=6135
