linha=1 | nome=Felipe | acao=estudou computacao | valor=9965
linha=98 | nome=Lucas | acao=executou o benchmark | valor=3859
linha=99 | nome=Eduarda | acao=executou o benchmark | valor=4538
linha=100 | nome=Joao | acao=otimizou o algoritmo | valor=1873
linha=101 | nome=Eduarda | acao=estudou computacao | valor=6936
linha=102 | nome=Paulo | acao=estudou computacao | valor=8031
linha=103 | nome=Joao | acao=executou o benchmark | valor=6522
linha=104 | nome=Mariana | acao=escreveu o relatorio | valor=6702
linha=105 | nome=Ana | acao=analisou os resultados | valor=3867
linha=106 | nome=Paulo | acao=estudou computacao | valor=6303
linha=107 | nome=Karen | acao=participou da aula | valor=1550
linha=108 | nome=Daniela | acao=comparou as metricas | valor=8104
linha=109 | nome=Lucas | acao=executou o benchmark | valor=1263
linha=110 | nome=Eduarda | acao=estudou computacao | valor=7164
linha=111 | nome=Lucas | acao=escreveu o relatorio | valor=7839
linha=112 | nome=Carlos | acao=analisou os resultados | valor=8198
linha=113 | nome=Sofia | acao=analisou os resultados | valor=8731
linha=114 | nome=Karen | acao=participou da aula | valor=3579
linha=115 | nome=Carlos | acao=fez um experimento | valor=9195
linha=116 | nome=Renata | acao=participou da aula | valor=4290
linha=117 | nome=Lucas | acao=otimizou o algoritmo | valor=6297
linha=118 | nome=Paulo | acao=estudou computacao | valor=1719
linha=119 | nome=Felipe | acao=otimizou o algoritmo | valor=8294
linha=120 | nome=Vitor | acao=executou o benchmark | valor=5833
linha=121 | nome=Joao | acao=participou da aula | valor=9488
linha=122 | nome=Tiago | acao=estudou computacao | valor=6682
linha=123 | nome=Mariana | acao=otimizou o algoritmo | valor=3107
linha=124 | nome=Karen | acao=estudou computacao | valor=3235
linha=125 | nome=Otavio | acao=participou da aula | valor=5097
linha=126 | nome=Tiago | acao=fez um experimento | valor=3023
linha=127 | nome=Otavio | acao=executou o benchmark | valor=4445
linha=128 | nome=Paulo | acao=fez um experimento | valor=1547
linha=129 | nome=Tiago | acao=escreveu o relatorio | valor=2106
linha=130 | nome=Eduarda | acao=participou da aula | valor=7730
linha=131 | nome=Otavio | acao=participou da aula | valor=8875
linha=132 | nome=Karen | acao=comparou as metricas | valor=4540
linha=133 | nome=Paulo | acao=otimizou o algoritmo | valor=2769
linha=134 | nome=Paulo | acao=otimizou o algoritmo | valor=1374
linha=135 | nome=Natalia | acao=otimizou o algoritmo | valor=7033
linha=136 | nome=Tiago | acao=comparou as metricas | valor=2694
linha=137 | nome=Felipe | acao=estudou computacao | valor=8947
linha=138 | nome=Tiago | acao=analisou os resultados | valor=3997
linha=139 | nome=Paulo | acao=estudou computacao | valor=5310
linha=140 | nome=Sofia | acao=executou o benchmark | valor=8028
linha=141 | nome=Tiago | acao=executou o benchmark | valor=4888
linha=142 | nome=Mariana | acao=executou o benchmark | valor=1145
linha=143 | nome=Bruno | acao=fez um experimento | valor=5635
linha=144 | nome=Daniela | acao=fez um experimento | valor=4485
linha=145 | nome=Ana | acao=fez um experimento | valor=6330
linha=146 | nome=Helena | acao=fez um experimento | valor=8958
linha=147 | nome=Paulo | acao=otimizou o algoritmo | valor=9959
linha=148 | nome=Vitor | acao=fez um experimento | valor=9569
linha=149 | nome=Gabriela | acao=escreveu o relatorio | valor=8622
linha=150 | nome=Paulo | acao=otimizou o algoritmo | valor=8167
linha=151 | nome=Renata | acao=executou o benchmark | valor=1112
linha=152 | nome=Ana | acao=participou da aula | valor=5728
linha=153 | nome=Daniela | acao=otimizou o algoritmo | valor=2629
linha=154 | nome=Eduarda | acao=estudou computacao | valor=8351
linha=155 | nome=Helena | acao=fez um experimento | valor=9999
linha=156 | nome=Bruno | acao=participou da aula | valor=1055
linha=157 | nome=Daniela | acao=participou da aula | valor=9967
linha=158 | nome=Daniela | acao=escreveu o relatorio | valor=5128
linha=159 | nome=Tiago | acao=executou o benchmark | valor=1488
linha=160 | nome=Igor | acao=executou o benchmark | valor=8685
linha=161 | nome=Igor | acao=fez um experimento | valor=5573
linha=162 | nome=Mariana | acao=analisou os resultados | valor=3977
linha=163 | nome=Mariana | acao=comparou as metricas | valor=6069
linha=164 | nome=Natalia | acao=participou da aula | valor=7811
linha=165 | nome=Otavio | acao=comparou as metricas | valor=2345
linha=166 | nome=Ana | acao=estudou computacao | valor=6777
linha=167 | nome=Lucas | acao=fez um experimento | valor=7654
linha=168 | nome=Natalia | acao=estudou computacao | valor=5169
linha=169 | nome=Paulo | acao=estudou computacao | valor=4036
linha=170 | nome=Tiago | acao=analisou os resultados | valor=1329
linha=171 | nome=Ana | acao=comparou as metricas | valor=3486
linha=172 | nome=Natalia | acao=participou da aula | valor=3268
linha=173 | nome=Carlos | acao=analisou os resultados | valor=2091
linha=174 | nome=Sofia | acao=comparou as metricas | valor=4119
linha=175 | nome=Bruno | acao=analisou os resultados | valor=4924
linha=176 | nome=Bruno | acao=comparou as metricas | valor=6596
linha=177 | nome=Sofia | acao=estudou computacao | valor=5287
linha=178 | nome=Tiago | acao=comparou as metricas | valor=8493
linha=179 | nome=Karen | acao=comparou as metricas | valor=9156
linha=180 | nome=Joao | acao=otimizou o algoritmo | valor=7298
linha=181 | nome=Otavio | acao=comparou as metricas | valor=8560
linha=182 | nome=Renata | acao=otimizou o algoritmo | valor=9464
linha=183 | nome=Vitor | acao=analisou os resultados | valor=3018
linha=184 | nome=Gabriela | acao=estudou computacao | valor=1551
linha=185 | nome=Felipe | acao=participou da aula | valor=2852
linha=186 | nome=Vitor | acao=comparou as metricas | valor=3549
linha=187 | nome=Joao | acao=participou da aula | valor=8235
linha=188 | nome=Paulo | acao=participou da aula | valor=9832
linha=189 | nome=Bruno | acao=analisou os resultados | valor=4425
linha=190 | nome=Sofia | acao=analisou os resultados | valor=9511
linha=191 | nome=Gabriela | acao=fez um experimento | valor=3103
linha=192 | nome=Eduarda | acao=otimizou o algoritmo | valor=8935
linha=193 | nome=Mariana | acao=fez um experimento | valor=9274
linha=194 | nome=Bruno | acao=fez um experimento | valor=6064
linha=195 | nome=Karen | acao=comparou as metricas | valor=6747
linha=196 | nome=Eduarda | acao=fez um experimento | valor=8946
linha=197 | nome=Lucas | acao=executou o benchmark | valor=8852
linha=198 | nome=Igor | acao=otimizou o algoritmo | valor=3106
linha=199 | nome=Tiago | acao=escreveu o relatorio | valor=1442
linha=200 | nome=Tiago | acao=otimizou o algoritmo | valor=6692
linha=201 | nome=Helena | acao=analisou os resultados | valor=4295
linha=202 | nome=Karen | acao=estudou computacao | valor=8692
linha=203 | nome=Bruno | acao=fez um experimento | valor=7692
linha=204 | nome=Helena | acao=escreveu o relatorio | valor=3039
linha=205 | nome=Joao | acao=otimizou o algoritmo | valor=6806
linha=206 | nome=Karen | acao=escreveu o relatorio | valor=7408
linha=207 | nome=Sofia | acao=executou o benchmark | valor=8249
linha=208 | nome=Lucas | acao=otimizou o algoritmo | valor=2396
linha=209 | nome=Helena | acao=fez um experimento | valor=9885
linha=210 | nome=Helena | acao=fez um experimento | valor=6118
linha=211 | nome=Joao | acao=escreveu o relatorio | valor=9541
linha=212 | nome=Carlos | acao=executou o benchmark | valor=3868
linha=213 | nome=Mariana | acao=escreveu o relatorio | valor=2802
linha=214 | nome=Tiago | acao=participou da aula | valor=8444
linha=215 | nome=Joao | acao=otimizou o algoritmo | valor=9642
linha=216 | nome=Daniela | acao=otimizou o algoritmo | valor=8841
linha=217 | nome=Tiago | acao=participou da aula | valor=3326
linha=218 | nome=Gabriela | acao=escreveu o relatorio | valor=5774
linha=219 | nome=Joao | acao=escreveu o relatorio | valor=7616
linha=220 | nome=Karen | acao=estudou computacao | valor=5497
linha=221 | nome=Helena | acao=participou da aula | valor=3916
linha=222 | nome=Ana | acao=fez um experimento | valor=3873
linha=223 | nome=Daniela | acao=comparou as metricas | valor=9141
linha=224 | nome=Sofia | acao=escreveu o relatorio | valor=2945
linha=225 | nome=Tiago | acao=comparou as metricas | valor=4021
linha=226 | nome=Lucas | acao=executou o benchmark | valor=3978
linha=227 | nome=Carlos | acao=otimizou o algoritmo | valor=6146
linha=228 | nome=Carlos | acao=participou da aula | valor=9784
linha=229 | nome=Igor | acao=executou o benchmark | valor=4022
linha=230 | nome=Ana | acao=executou o benchmark | valor=7674
linha=231 | nome=Natalia | acao=escreveu o relatorio | valor=6063
linha=232 | nome=Otavio | acao=fez um experimento | valor=3559
linha=233 | nome=Mariana | acao=analisou os resultados | valor=2346
linha=234 | nome=Lucas | acao=analisou os resultados | valor=9700
linha=235 | nome=Vitor | acao=fez um experimento | valor=2664
linha=236 | nome=Renata | acao=estudou computacao | valor=8154
linha=237 | nome=Mariana | acao=fez um experimento | valor=2960
linha=238 | nome=Gabriela | acao=fez um experimento | valor=2418
linha=239 | nome=Otavio | acao=analisou os resultados | valor=9066
linha=240 | nome=Helena | acao=comparou as metricas | valor=2294
linha=241 | nome=Felipe | acao=estudou computacao | valor=9314
linha=242 | nome=Felipe | acao=analisou os resultados | valor=3474
linha=243 | nome=Tiago | acao=otimizou o algoritmo | valor=3561
linha=244 | nome=Carlos | acao=analisou os resultados | valor=6883
linha=245 | nome=Carlos | acao=otimizou o algoritmo | valor=4482
linha=246 | nome=Mariana | acao=estudou computacao | valor=1446
linha=247 | nome=Mariana | acao=executou o benchmark | valor=4807
linha=248 | nome=Mariana | acao=estudou computacao | valor=1811
linha=249 | nome=Lucas | acao=comparou as metricas | valor=1102
linha=250 | nome=Gabriela | acao=estudou computacao | valor=5412
linha=251 | nome=Ana | acao=analisou os resultados | valor=2146
linha=252 | nome=Ana | acao=participou da aula | valor=4296
linha=253 | nome=Eduarda | acao=fez um experimento | valor=3084
linha=254 | nome=Gabriela | acao=estudou computacao | valor=4234
linha=255 | nome=Lucas | acao=participou da aula | valor=2140
linha=256 | nome=Karen | acao=estudou computacao | valor=6759
linha=257 | nome=Igor | acao=executou o benchmark | valor=6731
linha=258 | nome=Carlos | acao=otimizou o algoritmo | valor=1069
linha=259 | nome=Vitor | acao=participou da aula | valor=1872
linha=260 | nome=Otavio | acao=executou o benchmark | valor=7122
linha=261 | nome=Renata | acao=otimizou o algoritmo | valor=9150
linha=262 | nome=Mariana | acao=otimizou o algoritmo | valor=2104
linha=263 | nome=Paulo | acao=escreveu o relatorio | valor=9644
linha=264 | nome=Mariana | acao=otimizou o algoritmo | valor=9542
linha=265 | nome=Paulo | acao=executou o benchmark | valor=5947
linha=266 | nome=Joao | acao=executou o benchmark | valor=9498
linha=267 | nome=Renata | acao=participou da aula | valor=1560
linha=268 | nome=Bruno | acao=otimizou o algoritmo | valor=6475
linha=269 | nome=Renata | acao=comparou as metricas | valor=9644
linha=270 | nome=Sofia | acao=participou da aula | valor=1748
linha=271 | nome=Joao | acao=escreveu o relatorio | valor=2863
linha=272 | nome=Ana | acao=participou da aula | valor=5609
linha=273 | nome=Karen | acao=fez um experimento | valor=8160
linha=274 | nome=Karen | acao=estudou computacao | valor=6639
linha=275 | nome=Eduarda | acao=estudou computacao | valor=2424
linha=276 | nome=Mariana | acao=estudou computacao | valor=8258
linha=277 | nome=Gabriela | acao=otimizou o algoritmo | valor=4706
linha=278 | nome=Daniela | acao=executou o benchmark | valor=9665
linha=279 | nome=Lucas | acao=escreveu o relatorio | valor=9066
linha=280 | nome=Gabriela | acao=fez um experimento | valor=8280
linha=281 | nome=Joao | acao=comparou as metricas | valor=9871
linha=282 | nome=Mariana | acao=executou o benchmark | valor=3561
linha=283 | nome=Natalia | acao=otimizou o algoritmo | valor=4261
linha=284 | nome=Mariana | acao=escreveu o relatorio | valor=5153
linha=285 | nome=Felipe | acao=escreveu o relatorio | valor=8430
linha=286 | nome=Mariana | acao=participou da aula | valor=4874
linha=287 | nome=Natalia | acao=fez um experimento | valor=1086
linha=288 | nome=Natalia | acao=participou da aula | valor=4011
linha=289 | nome=Eduarda | acao=comparou as metricas | valor=5413
linha=290 | nome=Sofia | acao=participou da aula | valor=9009
linha=291 | nome=Renata | acao=analisou os resultados | valor=9384
linha=292 | nome=Paulo | acao=executou o benchmark | valor=1766
linha=293 | nome=Helena | acao=escreveu o relatorio | valor=9069
linha=294 | nome=Daniela | acao=analisou os resultados | valor=8901
linha=295 | nome=Helena | acao=executou o benchmark | valor=7854
linha=296 | nome=Eduarda | acao=escreveu o relatorio | valor=7397
linha=297 | nome=Joao | acao=executou o benchmark | valor=3126
linha=298 | nome=Sofia | acao=escreveu o relatorio | valor=9250
linha=299 | nome=Lucas | acao=estudou computacao | valor=4262
linha=300 | nome=Karen | acao=analisou os resultados | valor=5440
linha=301 | nome=Karen | acao=otimizou o algoritmo | valor=8070
linha=302 | nome=Natalia | acao=estudou computacao | valor=2050
linha=303 | nome=Felipe | acao=estudou computacao | valor=2208
linha=304 | nome=Joao | acao=estudou computacao | valor=1681
linha=305 | nome=Helena | acao=comparou as metricas | valor=3267
linha=306 | nome=Otavio | acao=analisou os resultados | valor=5711
linha=307 | nome=Lucas | acao=comparou as metricas | valor=5268
linha=308 | nome=Carlos | acao=analisou os resultados | valor=3728
linha=309 | nome=Bruno | acao=escreveu o relatorio | valor=6777
linha=310 | nome=Mariana | acao=escreveu o relatorio | valor=3817
linha=311 | nome=Felipe | acao=estudou computacao | valor=2858
linha=312 | nome=Vitor | acao=participou da aula | valor=3333
linha=313 | nome=Carlos | acao=analisou os resultados | valor=2686
linha=314 | nome=Renata | acao=fez um experimento | valor=9664
linha=315 | nome=Mariana | acao=estudou computacao | valor=9013
linha=316 | nome=Lucas | acao=escreveu o relatorio | valor=6899
linha=317 | nome=Mariana | acao=fez um experimento | valor=6412
linha=318 | nome=Bruno | acao=executou o benchmark | valor=8397
linha=319 | nome=Eduarda | acao=fez um experimento | valor=7832
linha=320 | nome=Igor | acao=analisou os resultados | valor=4671
linha=321 | nome=Carlos | acao=otimizou o algoritmo | valor=3555
linha=322 | nome=Bruno | acao=analisou os resultados | valor=4713
linha=323 | nome=Helena | acao=participou da aula | valor=1548
linha=324 | nome=Vitor | acao=escreveu o relatorio | valor=4327
linha=325 | nome=Paulo | acao=participou da aula | valor=8753
linha=326 | nome=Igor | acao=estudou computacao | valor=4070
linha=327 | nome=Mariana | acao=comparou as metricas | valor=5348
linha=328 | nome=Daniela | acao=estudou computacao | valor=9614
linha=329 | nome=Bruno | acao=escreveu o relatorio | valor=5570
linha=330 | nome=Gabriela | acao=comparou as metricas | valor=2671
linha=331 | nome=Renata | acao=otimizou o algoritmo | valor=8372
linha=332 | nome=Natalia | acao=estudou computacao | valor=1886
linha=333 | nome=Gabriela | acao=fez um experimento | valor=8253
linha=334 | nome=Mariana | acao=analisou os resultados | valor=3063
linha=335 | nome=Mariana | acao=escreveu o relatorio | valor=9770
linha=336 | nome=Vitor | acao=executou o benchmark | valor=2623
linha=337 | nome=Carlos | acao=fez um experimento | valor=8556
linha=338 | nome=Vitor | acao=participou da aula | valor=5635
linha=339 | nome=Paulo | acao=comparou as metricas | valor=3642
linha=340 | nome=Natalia | acao=estudou computacao | valor=5453
linha=341 | nome=Mariana | acao=comparou as metricas | valor=4643
linha=342 | nome=Eduarda | acao=participou da aula | valor=5466
linha=343 | nome=Ana | acao=executou o benchmark | valor=7233
linha=344 | nome=Gabriela | acao=executou o benchmark | valor=8133
linha=345 | nome=Renata | acao=executou o benchmark | valor=3823
linha=346 | nome=Vitor | acao=estudou computacao | valor=5643
linha=347 | nome=Lucas | acao=participou da aula | valor=7709
linha=348 | nome=Gabriela | acao=fez um experimento | valor=3897
linha=349 | nome=Ana | acao=estudou computacao | valor=1598
linha=350 | nome=Felipe | acao=otimizou o algoritmo | valor=8676
linha=351 | nome=Helena | acao=comparou as metricas | valor=1956
linha=352 | nome=Bruno | acao=participou da aula | valor=1701
linha=353 | nome=Paulo | acao=otimizou o algoritmo | valor=8230
linha=354 | nome=Karen | acao=escreveu o relatorio | valor=4550
linha=355 | nome=Bruno | acao=otimizou o algoritmo | valor=7861
linha=356 | nome=Mariana | acao=fez um experimento | valor=8019
linha=357 | nome=Bruno | acao=escreveu o relatorio | valor=7162
linha=358 | nome=Felipe | acao=escreveu o relatorio | valor=4126
linha=359 | nome=Daniela | acao=comparou as metricas | valor=3020
linha=360 | nome=Ana | acao=comparou as metricas | valor=1541
linha=361 | nome=Paulo | acao=estudou computacao | valor=7042
linha=362 | nome=Eduarda | acao=escreveu o relatorio | valor=6484
linha=363 | nome=Natalia | acao=participou da aula | valor=7429
linha=364 | nome=Lucas | acao=estudou computacao | valor=6019
linha=365 | nome=Mariana | acao=participou da aula | valor=7389
linha=366 | nome=Tiago | acao=executou o benchmark | valor=3971
linha=367 | nome=Ana | acao=comparou as metricas | valor=2906
linha=368 | nome=Tiago | acao=analisou os resultados | valor=6423
linha=369 | nome=Paulo | acao=escreveu o relatorio | valor=6667
linha=370 | nome=Sofia | acao=executou o benchmark | valor=4340
linha=371 | nome=Mariana | acao=otimizou o algoritmo | valor=5321
linha=372 | nome=Natalia | acao=fez um experimento | valor=4503
linha=373 | nome=Otavio | acao=otimizou o algoritmo | valor=6158
linha=374 | nome=Lucas | acao=fez um experimento | valor=7078
linha=375 | nome=Ana | acao=escreveu o relatorio | valor=9442
linha=376 | nome=Daniela | acao=estudou computacao | valor=7946
linha=377 | nome=Joao | acao=fez um experimento | valor=6102
linha=378 | nome=Paulo | acao=escreveu o relatorio | valor=6185
linha=379 | nome=Mariana | acao=participou da aula | valor=8042
linha=380 | nome=Otavio | acao=escreveu o relatorio | valor=6677
linha=381 | nome=Renata | acao=participou da aula | valor=1215
linha=382 | nome=Bruno | acao=analisou os resultados | valor=3397
linha=383 | nome=Natalia | acao=comparou as metricas | valor=6163
linha=384 | nome=Vitor | acao=fez um experimento | valor=8392
linha=385 | nome=Mariana | acao=participou da aula | valor=2397
linha=386 | nome=Bruno | acao=escreveu o relatorio | valor=1233
linha=387 | nome=Sofia | acao=fez um experimento | valor=2061
linha=388 | nome=Helena | acao=fez um experimento | valor=2574
linha=389 | nome=Felipe | acao=analisou os resultados | valor=1595
linha=390 | nome=Karen | acao=escreveu o relatorio | valor=7140
linha=391 | nome=Otavio | acao=estudou computacao | valor=3731
linha=392 | nome=Tiago | acao=otimizou o algoritmo | valor=3753
linha=393 | nome=Otavio | acao=analisou os resultados | valor=5326
linha=394 | nome=Karen | acao=comparou as metricas | valor=8572
linha=395 | nome=Natalia | acao=otimizou o algoritmo | valor=6967
linha=396 | nome=Tiago | acao=comparou as metricas | valor=8422
linha=397 | nome=Carlos | acao=comparou as metricas | valor=2855
linha=398 | nome=Eduarda | acao=participou da aula | valor=3794
linha=399 | nome=Igor | acao=executou o benchmark | valor=2730
linha=400 | nome=Eduarda | acao=fez um experimento | valor=2307
linha=401 | nome=Vitor | acao=fez um experimento | valor=9414
linha=402 | nome=Mariana | acao=fez um experimento | valor=4180
linha=403 | nome=Paulo | acao=analisou os resultados | valor=8709
linha=404 | nome=Gabriela | acao=otimizou o algoritmo | valor=6809
linha=405 | nome=Eduarda | acao=comparou as metricas | valor=2292
linha=406 | nome=Igor | acao=participou da aula | valor=7529
linha=407 | nome=Natalia | acao=estudou computacao | valor=7995
linha=408 | nome=Ana | acao=participou da aula | valor=7443
linha=409 | nome=Paulo | acao=participou da aula | valor=3441
linha=410 | nome=Carlos | acao=estudou computacao | valor=5992
linha=411 | nome=Karen | acao=participou da aula | valor=4656
linha=412 | nome=Mariana | acao=escreveu o relatorio | valor=2046
linha=413 | nome=Bruno | acao=otimizou o algoritmo | valor=7550
linha=414 | nome=Tiago | acao=comparou as metricas | valor=2822
linha=415 | nome=Carlos | acao=escreveu o relatorio | valor=1606
linha=416 | nome=Eduarda | acao=estudou computacao | valor=6310
linha=417 | nome=Tiago | acao=estudou computacao | valor=8902
linha=418 | nome=Eduarda | acao=participou da aula | valor=7994
linha=419 | nome=Paulo | acao=otimizou o algoritmo | valor=2439
linha=420 | nome=Igor | acao=analisou os resultados | valor=5616
linha=421 | nome=Daniela | acao=participou da aula | valor=7645
linha=422 | nome=Lucas | acao=escreveu o relatorio | valor=6598
linha=423 | nome=Carlos | acao=participou da aula | valor=3789
linha=424 | nome=Renata | acao=escreveu o relatorio | valor=1177
linha=425 | nome=Karen | acao=estudou computacao | valor=8868
linha=426 | nome=Mariana | acao=fez um experimento | valor=1122
linha=427 | nome=Tiago | acao=participou da aula | valor=1338
linha=428 | nome=Igor | acao=participou da aula | valor=6898
linha=429 | nome=Joao | acao=fez um experimento | valor=6950
linha=430 | nome=Daniela | acao=fez um experimento | valor=7567
linha=431 | nome=Felipe | acao=analisou os resultados | valor=1519
linha=432 | nome=Carlos | acao=estudou computacao | valor=5893
linha=433 | nome=Carlos | acao=fez um experimento | valor=1027
linha=434 | nome=Carlos | acao=escreveu o relatorio | valor=4237
linha=435 | nome=Felipe | acao=comparou as metricas | valor=9493
linha=436 | nome=Felipe | acao=otimizou o algoritmo | valor=8064
linha=437 | nome=Sofia | acao=estudou computacao | valor=3814
linha=438 | nome=Bruno | acao=escreveu o relatorio | valor=4910
linha=439 | nome=Natalia | acao=analisou os resultados | valor=4201
linha=440 | nome=Carlos | acao=fez um experimento | valor=5364
linha=441 | nome=Renata | acao=executou o benchmark | valor=6473
linha=442 | nome=Igor | acao=comparou as metricas | valor=3215
linha=443 | nome=Lucas | acao=comparou as metricas | valor=7994
linha=444 | nome=Renata | acao=fez um experimento | valor=7259
linha=445 | nome=Tiago | acao=fez um experimento | valor=2594
linha=446 | nome=Daniela | acao=escreveu o relatorio | valor=9330
linha=447 | nome=Joao | acao=participou da aula | valor=9311
linha=448 | nome=Helena | acao=fez um experimento | valor=5171
linha=449 | nome=Carlos | acao=comparou as metricas | valor=8719
linha=450 | nome=Mariana | acao=estudou computacao | valor=7563
linha=451 | nome=Tiago | acao=otimizou o algoritmo | valor=5756
linha=452 | nome=Helena | acao=otimizou o algoritmo | valor=2888
